rid,singer,title,clean_title,occurrences,appeared
463063,梁静茹,没有如果,没有如果,14,1
213974,梁静茹,小手拉大手,小手拉大手,7,1
1025040,梁静茹,问 (Live),问,1,1
164701,梁静茹,爱你不是两三天,爱你不是两三天,6,1
164699,梁静茹,如果有一天,如果有一天,3,1
1027785,梁静茹,情歌,情歌,4,1
540920,梁静茹,梦醒时分 (Live),梦醒时分,3,1
164616,梁静茹,分手快乐,分手快乐,4,1
12367214,梁静茹,丝路,丝路,4,1
452405992,梁静茹,住在心里的人,住在心里的人,0,0
91823,梁静茹,明明很爱你,明明很爱你,6,1
934091,梁静茹,暖暖,暖暖,6,1
231323,孙燕姿,我怀念的,我怀念的,10,1
296504,孙燕姿,遇见,遇见,3,1
325842,孙燕姿,开始懂了,开始懂了,3,1
234519,孙燕姿,遇见,遇见,3,1
423818,孙燕姿,绿光,绿光,8,1
95769,孙燕姿,我不难过,我不难过,3,1
117839,孙燕姿,第一天,第一天,11,1
231321,孙燕姿,逆光,逆光,0,0
325268,孙燕姿,天黑黑,天黑黑,6,1
22286406,孙燕姿,遇见,遇见,3,1
182814,孙燕姿,"Tonight, I feel close to you (with 孫 燕姿<yan-zi>)","Tonight, I feel close to you (with 孫 燕姿<yan-zi>)",0,0
40915919,孙燕姿,半句再见,半句再见,3,1
168322,孙燕姿,"Tonight,I feel close to you","Tonight,I feel close to you",4,1
15899822,孙燕姿,雨天,雨天,6,1
234498,孙燕姿,开始懂了,开始懂了,3,1
117836,孙燕姿,眼泪成诗,眼泪成诗,0,0
234500,孙燕姿,绿光,绿光,8,1
22282793,孙燕姿,开始懂了,开始懂了,3,1
203339,孙燕姿,雨天,雨天,6,1
359661820,孙燕姿,开始懂了 (黑胶版),开始懂了 (黑胶版),0,0
22286394,孙燕姿,绿光,绿光,8,1
234518,孙燕姿,雨天,雨天,6,1
4057680,孙燕姿,克卜勒,克卜勒,0,0
117840,孙燕姿,Honey Honey,Honey Honey,6,1
411721992,孙燕姿,遇见 (黑胶版),遇见 (黑胶版),0,0
538730146,ProdbyMend,咏春 (等你等你等你的一切DJ版),咏春 (等你等你等你的一切DJ版),0,0
536916552,ProdbyMend,海屿你,海屿你,1,1
412945074,ProdbyMend,心之火DJ (谁的爱太疯任性的挥霍),心之火DJ (谁的爱太疯任性的挥霍),0,0
